chrom	exonCount	exonStarts	exonEnds	name2
chr1	10	"46040139,46045917,46046550,46055794,46061928,46066053,46066910,46077514,46080641,46176227,"	"46043871,46046088,46046625,46055971,46062071,46066179,46067091,46077613,46080750,46176495,"	PIK3R3
chr1	13	"51354262,51361170,51363865,51365952,51394380,51399031,51400917,51402434,51403418,51405904,51408134,51409534,51421785,"	"51356846,51361355,51364028,51366029,51394447,51399165,51400953,51402525,51403532,51406108,51408332,51409696,51422121,"	EPS15
chr1	25	"51354262,51361170,51363865,51365952,51394380,51399031,51400917,51402434,51403418,51405904,51408134,51409534,51421785,51440346,51444888,51446959,51448045,51461090,51463672,51465260,51468472,51471689,51472858,51481272,51519198,"	"51356846,51361355,51364028,51366029,51394447,51399165,51400953,51402525,51403532,51406108,51408332,51409696,51421858,51440432,51445045,51447105,51448135,51461150,51463798,51465326,51468568,51471737,51472948,51481314,51519323,"	EPS15
chr1	27	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,64956933,65066627,65067603,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855698,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,64957017,65066802,65067746,"	JAK1
chr1	26	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,65066627,65067603,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855698,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,65066802,65067746,"	JAK1
chr1	25	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,65067603,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855698,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,65067746,"	JAK1
chr1	23	"97077742,97082329,97098488,97193068,97234851,97305258,97306176,97373560,97382392,97450058,97515725,97549559,97573759,97593217,97595058,97679094,97691716,97699350,97721509,97740391,97828113,97883263,97920883,"	"97079146,97082470,97098632,97193248,97234994,97305378,97306297,97373644,97382461,97450223,97515941,97549744,97573970,97593387,97595166,97679182,97691798,97699547,97721671,97740479,97828196,97883374,97921059,"	DPYD
chr1	8	"164559359,164563237,164792493,164799698,164807541,164811989,164821536,164846583,"	"164560013,164563311,164792738,164799889,164807677,164812149,164821626,164851830,"	PBX1
chr1	9	"164559359,164563237,164792493,164799698,164807541,164811989,164820071,164821536,164849339,"	"164560013,164563311,164792738,164799889,164807677,164812149,164820184,164821626,164851830,"	PBX1
chr1	9	"164559359,164563237,164792493,164799698,164807541,164811989,164820071,164821536,164846583,"	"164560013,164563311,164792738,164799889,164807677,164812149,164820184,164821626,164851830,"	PBX1
chr1	34	"204422629,204425612,204427647,204428138,204429920,204431668,204432199,204433315,204433792,204434438,204438934,204440191,204441470,204442525,204443416,204444067,204444330,204445955,204447435,204449184,204449849,204454668,204455855,204457036,204457727,204459877,204460323,204460549,204464011,204464449,204465218,204468869,204489815,204490067,"	"204425040,204425741,204427754,204428220,204430038,204431793,204432401,204433425,204433949,204434608,204439071,204440321,204441563,204442633,204443597,204444162,204444424,204446144,204447578,204449296,204450017,204454791,204456051,204457070,204457874,204459941,204460403,204460661,204464132,204464604,204465319,204469886,204489931,204490346,"	PIK3C2B
chr1	24	"9651731,9691466,9710423,9715540,9715848,9716439,9716958,9717536,9718693,9719920,9720111,9720610,9720741,9721126,9721443,9721760,9721974,9722243,9722527,9723124,9723968,9724275,9724803,9726908,"	"9651802,9691571,9710596,9715769,9716078,9716619,9717108,9717626,9718915,9720017,9720242,9720661,9720909,9721248,9721587,9721860,9722153,9722356,9722606,9723292,9724092,9724421,9724936,9729114,"	PIK3CD
chr1	58	"11106530,11108180,11109289,11109648,11112851,11114317,11114812,11115395,11117003,11121245,11121978,11124497,11126621,11127009,11127623,11128003,11128453,11128854,11129737,11130528,11133079,11134350,11139303,11139532,11144647,11144967,11146675,11150125,11157151,11167441,11199257,11199540,11204560,11209311,11210813,11212311,11212795,11213398,11216147,11228667,11230924,11231299,11232435,11233397,11234142,11237842,11238401,11240302,11241552,11243113,11247624,11247818,11253838,11255991,11256932,11258484,11259247,11262444,"	"11107500,11108286,11109370,11109729,11112917,11114453,11114887,11115468,11117086,11121368,11122126,11124633,11126796,11127144,11127806,11128126,11128552,11128951,11129838,11130777,11133197,11134466,11139435,11139658,11144755,11145045,11146791,11150226,11157291,11167517,11199403,11199703,11204703,11209458,11210906,11212474,11212908,11213566,11216234,11228918,11231054,11231434,11232528,11233487,11234265,11238048,11238617,11240547,11241681,11243300,11247733,11248094,11253973,11256192,11257165,11258593,11259423,11262551,"	MTOR
chr1	12	"11785729,11791206,11792277,11793906,11794357,11794728,11795097,11796205,11800211,11801160,11802880,11805887,"	"11790898,11791326,11792379,11794089,11794538,11794863,11795348,11796399,11800322,11801399,11803129,11806103,"	MTHFR
chr1	15	"15847863,15872815,15876201,15909320,15911100,15916127,15918925,15919403,15920869,15922248,15928090,15937162,15937811,15938717,15939295,"	"15848150,15873136,15876678,15909481,15911301,15916279,15919051,15919517,15920983,15922349,15936266,15937645,15938006,15938876,15940455,"	SPEN
chr1	8	"17018721,17022607,17023972,17027748,17028599,17033059,17044760,17053947,"	"17018958,17022730,17024074,17027865,17028736,17033145,17044888,17054170,"	SDHB
chr1	9	"18631005,18634302,18635110,18636236,18691753,18700652,18703093,18735631,18744813,"	"18631688,18634538,18635240,18636371,18691953,18700818,18703296,18735878,18748866,"	PAX7
chr1	20	"26696030,26729650,26731151,26732675,26760855,26761383,26762151,26762972,26766220,26766456,26767789,26771118,26772499,26772811,26773345,26773579,26773801,26774979,26775576,26779022,"	"26697540,26729863,26731604,26732792,26761096,26761473,26762319,26763285,26766366,26766566,26767999,26771326,26772632,26772987,26773496,26773717,26773898,26775220,26775707,26782110,"	ARID1A
chr1	20	"26696030,26729650,26731151,26732675,26760855,26761383,26762151,26762972,26766220,26766456,26767789,26771118,26772499,26772811,26773345,26773579,26773801,26774328,26775576,26779022,"	"26697540,26729863,26731604,26732792,26761096,26761473,26762319,26763285,26766366,26766566,26767999,26771326,26772632,26772987,26773496,26773717,26773898,26775220,26775707,26782110,"	ARID1A
chr1	26	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,64956933,64966332,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855698,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,64957017,64966569,"	JAK1
chr1	25	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,64966332,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855698,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,64966569,"	JAK1
chr1	25	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,64966332,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855695,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,64966569,"	JAK1
chr1	26	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,64956933,64966880,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855698,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,64957017,64966936,"	JAK1
chr1	25	"64833222,64835395,64836097,64837931,64838464,64839602,64841244,64841450,64844063,64844753,64845512,64846648,64847531,64850803,64855508,64857655,64860104,64864786,64866865,64869310,64873369,64879024,64883276,64886258,64966880,"	"64834657,64835506,64836215,64838104,64838589,64839795,64841339,64841601,64844215,64844889,64845640,64846736,64847675,64850910,64855698,64857779,64860262,64864972,64867208,64869474,64873523,64879148,64883475,64886341,64966936,"	JAK1
chr1	6	"97719757,97721509,97740391,97828113,97883263,97920883,"	"97720926,97721671,97740479,97828196,97883374,97921059,"	DPYD
chr1	21	"113390852,113549514,113580541,113585386,113590483,113594480,113614600,113619735,113622805,113641910,113643742,113646485,113649236,113651013,113653829,113659079,113671733,113672614,113673321,113681197,113682896,"	"113391349,113549631,113580661,113585596,113590658,113594560,113614658,113619830,113622994,113642516,113643774,113646642,113649328,113651206,113654018,113659265,113671836,113672741,113673465,113681336,113685923,"	MAGI3
chr1	21	"113390852,113549514,113580541,113585386,113590483,113594480,113614600,113619735,113622805,113641910,113643742,113646485,113649236,113651013,113653829,113659079,113671733,113672614,113673321,113681197,113682211,"	"113391349,113549631,113580661,113585596,113590658,113594560,113614658,113619830,113622994,113642516,113643774,113646642,113649328,113651206,113654018,113659265,113671836,113672741,113673465,113681336,113685923,"	MAGI3
chr1	20	"114392776,114397939,114399456,114401388,114402759,114405409,114406940,114408676,114410183,114421435,114424590,114425448,114427176,114427747,114430797,114433616,114463103,114463411,114464269,114510550,"	"114397860,114397990,114399609,114401463,114402883,114405759,114407100,114408740,114410316,114421636,114424755,114425723,114427294,114427894,114430912,114433733,114463236,114463556,114464388,114511160,"	TRIM33
chr1	19	"114392776,114399456,114401388,114402759,114405409,114406940,114408676,114410183,114421435,114424590,114425448,114427176,114427747,114430797,114433616,114463103,114463411,114464269,114510550,"	"114397860,114399609,114401463,114402883,114405759,114407100,114408740,114410316,114421636,114424755,114425723,114427294,114427894,114430912,114433733,114463236,114463556,114464388,114511160,"	TRIM33
